risk_cid,interv_cid,risk_name,interv_name,interv_type,n_paths_c0,n_paths_c1,n_paths_c2,c1_boost
25.0,23.0,Misaligned Superintelligent AI Existential Risk,Human-aware predictive robot control and safety planning,technical,0,6,269,6
11.0,6.0,Misforecasted AI Timelines Undermining Safety Preparedness,PGD Adversarial Training for Robust Fine-Tuning,technical,0,6,260,6
26.0,12.0,Misaligned AGI existential catastrophe,Pre-deployment bias auditing and fairness mitigation,governance,0,6,98,6
7.0,27.0,Human extinction from misaligned superintelligent AI,KL-Regularized RLHF Fine-Tuning,technical,0,5,126,5
33.0,35.0,AI-driven personal data privacy breaches,Human-preference reward model fine-tuning,technical,0,5,63,5
37.0,5.0,AI-driven labor displacement and socioeconomic instability,Pre-deployment adversarial red-teaming and robustness testing,technical,0,5,124,5
7.0,26.0,Human extinction from misaligned superintelligent AI,Reward-guided RL fine-tuning with safety constraints,technical,0,5,308,5
32.0,19.0,AI shutdown resistance and control loss,Demonstration-Based Policy Pretraining,governance,0,5,20,5
0.0,21.0,Out-of-distribution generalization failure,Formal Verification for Pre-Deployment AI Safety,technical,0,5,20,5
4.0,13.0,Unsafe and Sample-Inefficient RL Exploration,Multi-objective recommender ranking with safety penalties,technical,0,5,71,5
32.0,1.0,AI shutdown resistance and control loss,Continuous anomaly monitoring and safety tripwires,technical,0,5,37,5
35.0,21.0,Advanced AI value misalignment risk,Formal Verification for Pre-Deployment AI Safety,technical,0,5,29,5
34.0,28.0,Instrumental power-seeking by advanced AI agents,International treaty banning autonomous weapons,governance,0,5,26,5
28.0,39.0,Algorithmic discrimination in high-stakes decisions,Export controls on advanced AI hardware,governance,0,5,46,5
7.0,33.0,Human extinction from misaligned superintelligent AI,Deployment-time prompt engineering for aligned behavior,technical,0,5,44,5
20.0,37.0,Deceptive alignment and hidden objectives,ROME-based factual knowledge editing,technical,0,5,28,5
24.0,27.0,Objective Misspecification and Misaligned Optimization,KL-Regularized RLHF Fine-Tuning,technical,0,5,32,5
11.0,32.0,Misforecasted AI Timelines Undermining Safety Preparedness,Attainable Utility Preservation reward penalty,technical,0,5,132,5
1.0,18.0,Malicious misuse of frontier AI for large-scale harm,Critique-guided fine-tuning and human feedback,technical,0,5,100,5
7.0,0.0,Human extinction from misaligned superintelligent AI,Training-time regularization for robust generalization,technical,0,5,78,5
38.0,33.0,Catastrophic AGI Misalignment Risk,Deployment-time prompt engineering for aligned behavior,technical,0,5,32,5
15.0,27.0,Opaque AI decision-making undermines oversight and safety,KL-Regularized RLHF Fine-Tuning,technical,0,5,94,5
32.0,28.0,AI shutdown resistance and control loss,International treaty banning autonomous weapons,governance,0,4,9,4
24.0,18.0,Objective Misspecification and Misaligned Optimization,Critique-guided fine-tuning and human feedback,technical,0,4,25,4
38.0,18.0,Catastrophic AGI Misalignment Risk,Critique-guided fine-tuning and human feedback,technical,0,4,89,4
11.0,19.0,Misforecasted AI Timelines Undermining Safety Preparedness,Demonstration-Based Policy Pretraining,governance,0,4,82,4
39.0,26.0,Bias-Driven Progress Distortion and Stagnation,Reward-guided RL fine-tuning with safety constraints,technical,0,4,9,4
28.0,32.0,Algorithmic discrimination in high-stakes decisions,Attainable Utility Preservation reward penalty,technical,0,4,52,4
26.0,13.0,Misaligned AGI existential catastrophe,Multi-objective recommender ranking with safety penalties,technical,0,4,125,4
37.0,32.0,AI-driven labor displacement and socioeconomic instability,Attainable Utility Preservation reward penalty,technical,0,4,60,4
30.0,19.0,Existential catastrophe and human extinction risks,Demonstration-Based Policy Pretraining,governance,0,4,29,4
12.0,29.0,Catastrophic risks from misaligned advanced AI,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,4,25,4
18.0,25.0,Catastrophic Superintelligent AI Misalignment,Explainable decision support with uncertainty and counterfactuals,technical,0,4,48,4
5.0,8.0,Compute and data inefficiency in AI training,Expand AI Safety Research Funding and Capacity,field-building,0,4,323,4
19.0,28.0,Misaligned AI takeover and human disempowerment,International treaty banning autonomous weapons,governance,0,4,22,4
11.0,15.0,Misforecasted AI Timelines Undermining Safety Preparedness,Pre-deployment mechanistic interpretability audits,governance,0,4,148,4
34.0,23.0,Instrumental power-seeking by advanced AI agents,Human-aware predictive robot control and safety planning,technical,0,4,61,4
21.0,21.0,Catastrophic AI misalignment and loss of control,Formal Verification for Pre-Deployment AI Safety,technical,0,4,133,4
1.0,2.0,Malicious misuse of frontier AI for large-scale harm,MCTS-Guided RL Planning and Training,technical,0,4,51,4
20.0,13.0,Deceptive alignment and hidden objectives,Multi-objective recommender ranking with safety penalties,technical,0,4,54,4
21.0,2.0,Catastrophic AI misalignment and loss of control,MCTS-Guided RL Planning and Training,technical,0,4,173,4
20.0,36.0,Deceptive alignment and hidden objectives,Robustness-Oriented Training Data Augmentation,technical,0,4,20,4
12.0,36.0,Catastrophic risks from misaligned advanced AI,Robustness-Oriented Training Data Augmentation,technical,0,4,45,4
31.0,32.0,Undetected unsafe behavior in deployed AI systems,Attainable Utility Preservation reward penalty,technical,0,4,28,4
25.0,12.0,Misaligned Superintelligent AI Existential Risk,Pre-deployment bias auditing and fairness mitigation,governance,0,4,70,4
32.0,27.0,AI shutdown resistance and control loss,KL-Regularized RLHF Fine-Tuning,technical,0,4,14,4
17.0,38.0,Adversarial Image Classification Misclassification,Incentivized AI forecasting and prediction systems,technical,0,4,221,4
31.0,36.0,Undetected unsafe behavior in deployed AI systems,Robustness-Oriented Training Data Augmentation,technical,0,4,4,4
27.0,32.0,Uncontrolled Recursive Self-Improvement Explosion,Attainable Utility Preservation reward penalty,technical,0,4,72,4
32.0,29.0,AI shutdown resistance and control loss,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,4,11,4
30.0,15.0,Existential catastrophe and human extinction risks,Pre-deployment mechanistic interpretability audits,governance,0,4,84,4
27.0,35.0,Uncontrolled Recursive Self-Improvement Explosion,Human-preference reward model fine-tuning,technical,0,4,215,4
34.0,37.0,Instrumental power-seeking by advanced AI agents,ROME-based factual knowledge editing,technical,0,4,8,4
30.0,6.0,Existential catastrophe and human extinction risks,PGD Adversarial Training for Robust Fine-Tuning,technical,0,4,89,4
7.0,29.0,Human extinction from misaligned superintelligent AI,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,4,79,4
18.0,33.0,Catastrophic Superintelligent AI Misalignment,Deployment-time prompt engineering for aligned behavior,technical,0,4,22,4
18.0,38.0,Catastrophic Superintelligent AI Misalignment,Incentivized AI forecasting and prediction systems,technical,0,4,265,4
12.0,33.0,Catastrophic risks from misaligned advanced AI,Deployment-time prompt engineering for aligned behavior,technical,0,4,22,4
30.0,12.0,Existential catastrophe and human extinction risks,Pre-deployment bias auditing and fairness mitigation,governance,0,4,10,4
32.0,33.0,AI shutdown resistance and control loss,Deployment-time prompt engineering for aligned behavior,technical,0,3,4,3
29.0,11.0,AI-driven wealth and power concentration,Public AI risk outreach and educational dissemination,field-building,0,3,34,3
2.0,12.0,AI arms race causing unsafe deployment,Pre-deployment bias auditing and fairness mitigation,governance,0,3,48,3
17.0,39.0,Adversarial Image Classification Misclassification,Export controls on advanced AI hardware,governance,0,3,157,3
34.0,22.0,Instrumental power-seeking by advanced AI agents,Deployment-time confidence filtering and rejection sampling,technical,0,3,13,3
3.0,1.0,Opaque Transformer Reasoning Undermines Safety Oversight,Continuous anomaly monitoring and safety tripwires,technical,0,3,50,3
29.0,1.0,AI-driven wealth and power concentration,Continuous anomaly monitoring and safety tripwires,technical,0,3,12,3
4.0,39.0,Unsafe and Sample-Inefficient RL Exploration,Export controls on advanced AI hardware,governance,0,3,266,3
14.0,37.0,Unsafe AI Decisions in High-Stakes Settings,ROME-based factual knowledge editing,technical,0,3,4,3
19.0,38.0,Misaligned AI takeover and human disempowerment,Incentivized AI forecasting and prediction systems,technical,0,3,212,3
6.0,9.0,Reward Misspecification and Reward Hacking,Choose robust model architectures at design time,technical,0,3,44,3
22.0,21.0,Deceptive and Harmful Language Model Outputs,Formal Verification for Pre-Deployment AI Safety,technical,0,3,27,3
1.0,12.0,Malicious misuse of frontier AI for large-scale harm,Pre-deployment bias auditing and fairness mitigation,governance,0,3,42,3
17.0,26.0,Adversarial Image Classification Misclassification,Reward-guided RL fine-tuning with safety constraints,technical,0,3,156,3
28.0,25.0,Algorithmic discrimination in high-stakes decisions,Explainable decision support with uncertainty and counterfactuals,technical,0,3,21,3
8.0,33.0,Human-AI Coordination Failure in Shared Environments,Deployment-time prompt engineering for aligned behavior,technical,0,3,4,3
29.0,35.0,AI-driven wealth and power concentration,Human-preference reward model fine-tuning,technical,0,3,67,3
24.0,38.0,Objective Misspecification and Misaligned Optimization,Incentivized AI forecasting and prediction systems,technical,0,3,105,3
15.0,23.0,Opaque AI decision-making undermines oversight and safety,Human-aware predictive robot control and safety planning,technical,0,3,108,3
34.0,21.0,Instrumental power-seeking by advanced AI agents,Formal Verification for Pre-Deployment AI Safety,technical,0,3,17,3
24.0,12.0,Objective Misspecification and Misaligned Optimization,Pre-deployment bias auditing and fairness mitigation,governance,0,3,17,3
27.0,6.0,Uncontrolled Recursive Self-Improvement Explosion,PGD Adversarial Training for Robust Fine-Tuning,technical,0,3,69,3
5.0,10.0,Compute and data inefficiency in AI training,Governed AI oversight and compliance regimes,governance,0,3,33,3
28.0,26.0,Algorithmic discrimination in high-stakes decisions,Reward-guided RL fine-tuning with safety constraints,technical,0,3,64,3
29.0,6.0,AI-driven wealth and power concentration,PGD Adversarial Training for Robust Fine-Tuning,technical,0,3,13,3
11.0,17.0,Misforecasted AI Timelines Undermining Safety Preparedness,Runtime control and coordination modules,technical,0,3,52,3
8.0,27.0,Human-AI Coordination Failure in Shared Environments,KL-Regularized RLHF Fine-Tuning,technical,0,3,18,3
17.0,9.0,Adversarial Image Classification Misclassification,Choose robust model architectures at design time,technical,0,3,15,3
30.0,39.0,Existential catastrophe and human extinction risks,Export controls on advanced AI hardware,governance,0,3,76,3
16.0,0.0,Insufficient AI safety research capacity,Training-time regularization for robust generalization,technical,0,3,323,3
15.0,29.0,Opaque AI decision-making undermines oversight and safety,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,3,62,3
37.0,26.0,AI-driven labor displacement and socioeconomic instability,Reward-guided RL fine-tuning with safety constraints,technical,0,3,77,3
22.0,12.0,Deceptive and Harmful Language Model Outputs,Pre-deployment bias auditing and fairness mitigation,governance,0,3,33,3
27.0,10.0,Uncontrolled Recursive Self-Improvement Explosion,Governed AI oversight and compliance regimes,governance,0,3,70,3
17.0,19.0,Adversarial Image Classification Misclassification,Demonstration-Based Policy Pretraining,governance,0,3,77,3
21.0,0.0,Catastrophic AI misalignment and loss of control,Training-time regularization for robust generalization,technical,0,3,305,3
11.0,39.0,Misforecasted AI Timelines Undermining Safety Preparedness,Export controls on advanced AI hardware,governance,0,3,136,3
31.0,24.0,Undetected unsafe behavior in deployed AI systems,RLHF fine-tuning for aligned language models,technical,0,3,60,3
37.0,28.0,AI-driven labor displacement and socioeconomic instability,International treaty banning autonomous weapons,governance,0,3,14,3
29.0,15.0,AI-driven wealth and power concentration,Pre-deployment mechanistic interpretability audits,governance,0,3,13,3
30.0,0.0,Existential catastrophe and human extinction risks,Training-time regularization for robust generalization,technical,0,3,16,3
11.0,29.0,Misforecasted AI Timelines Undermining Safety Preparedness,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,2,30,2
39.0,2.0,Bias-Driven Progress Distortion and Stagnation,MCTS-Guided RL Planning and Training,technical,0,2,3,2
12.0,2.0,Catastrophic risks from misaligned advanced AI,MCTS-Guided RL Planning and Training,technical,0,2,31,2
0.0,29.0,Out-of-distribution generalization failure,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,2,29,2
30.0,17.0,Existential catastrophe and human extinction risks,Runtime control and coordination modules,technical,0,2,29,2
39.0,27.0,Bias-Driven Progress Distortion and Stagnation,KL-Regularized RLHF Fine-Tuning,technical,0,2,3,2
29.0,24.0,AI-driven wealth and power concentration,RLHF fine-tuning for aligned language models,technical,0,2,31,2
23.0,19.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Demonstration-Based Policy Pretraining,governance,0,2,12,2
12.0,31.0,Catastrophic risks from misaligned advanced AI,Human-AI collaboration tools for skill building,technical,0,2,28,2
32.0,31.0,AI shutdown resistance and control loss,Human-AI collaboration tools for skill building,technical,0,2,4,2
24.0,28.0,Objective Misspecification and Misaligned Optimization,International treaty banning autonomous weapons,governance,0,2,13,2
31.0,23.0,Undetected unsafe behavior in deployed AI systems,Human-aware predictive robot control and safety planning,technical,0,2,13,2
31.0,27.0,Undetected unsafe behavior in deployed AI systems,KL-Regularized RLHF Fine-Tuning,technical,0,2,14,2
3.0,33.0,Opaque Transformer Reasoning Undermines Safety Oversight,Deployment-time prompt engineering for aligned behavior,technical,0,2,11,2
33.0,32.0,AI-driven personal data privacy breaches,Attainable Utility Preservation reward penalty,technical,0,2,16,2
3.0,13.0,Opaque Transformer Reasoning Undermines Safety Oversight,Multi-objective recommender ranking with safety penalties,technical,0,2,10,2
3.0,27.0,Opaque Transformer Reasoning Undermines Safety Oversight,KL-Regularized RLHF Fine-Tuning,technical,0,2,17,2
34.0,12.0,Instrumental power-seeking by advanced AI agents,Pre-deployment bias auditing and fairness mitigation,governance,0,2,18,2
28.0,18.0,Algorithmic discrimination in high-stakes decisions,Critique-guided fine-tuning and human feedback,technical,0,2,18,2
3.0,17.0,Opaque Transformer Reasoning Undermines Safety Oversight,Runtime control and coordination modules,technical,0,2,19,2
18.0,37.0,Catastrophic Superintelligent AI Misalignment,ROME-based factual knowledge editing,technical,0,2,19,2
27.0,19.0,Uncontrolled Recursive Self-Improvement Explosion,Demonstration-Based Policy Pretraining,governance,0,2,20,2
18.0,31.0,Catastrophic Superintelligent AI Misalignment,Human-AI collaboration tools for skill building,technical,0,2,23,2
4.0,22.0,Unsafe and Sample-Inefficient RL Exploration,Deployment-time confidence filtering and rejection sampling,technical,0,2,24,2
37.0,18.0,AI-driven labor displacement and socioeconomic instability,Critique-guided fine-tuning and human feedback,technical,0,2,24,2
3.0,0.0,Opaque Transformer Reasoning Undermines Safety Oversight,Training-time regularization for robust generalization,technical,0,2,25,2
19.0,29.0,Misaligned AI takeover and human disempowerment,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,2,25,2
29.0,17.0,AI-driven wealth and power concentration,Runtime control and coordination modules,technical,0,2,6,2
39.0,32.0,Bias-Driven Progress Distortion and Stagnation,Attainable Utility Preservation reward penalty,technical,0,2,6,2
33.0,25.0,AI-driven personal data privacy breaches,Explainable decision support with uncertainty and counterfactuals,technical,0,2,6,2
39.0,23.0,Bias-Driven Progress Distortion and Stagnation,Human-aware predictive robot control and safety planning,technical,0,2,5,2
23.0,23.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Human-aware predictive robot control and safety planning,technical,0,2,8,2
22.0,28.0,Deceptive and Harmful Language Model Outputs,International treaty banning autonomous weapons,governance,0,2,46,2
3.0,26.0,Opaque Transformer Reasoning Undermines Safety Oversight,Reward-guided RL fine-tuning with safety constraints,technical,0,2,63,2
30.0,32.0,Existential catastrophe and human extinction risks,Attainable Utility Preservation reward penalty,technical,0,2,62,2
10.0,13.0,Existential catastrophe from misaligned AI,Multi-objective recommender ranking with safety penalties,technical,0,2,285,2
12.0,27.0,Catastrophic risks from misaligned advanced AI,KL-Regularized RLHF Fine-Tuning,technical,0,2,97,2
2.0,2.0,AI arms race causing unsafe deployment,MCTS-Guided RL Planning and Training,technical,0,2,51,2
32.0,38.0,AI shutdown resistance and control loss,Incentivized AI forecasting and prediction systems,technical,0,2,40,2
35.0,28.0,Advanced AI value misalignment risk,International treaty banning autonomous weapons,governance,0,2,79,2
3.0,38.0,Opaque Transformer Reasoning Undermines Safety Oversight,Incentivized AI forecasting and prediction systems,technical,0,2,85,2
11.0,27.0,Misforecasted AI Timelines Undermining Safety Preparedness,KL-Regularized RLHF Fine-Tuning,technical,0,2,42,2
21.0,12.0,Catastrophic AI misalignment and loss of control,Pre-deployment bias auditing and fairness mitigation,governance,0,2,68,2
31.0,26.0,Undetected unsafe behavior in deployed AI systems,Reward-guided RL fine-tuning with safety constraints,technical,0,2,43,2
16.0,12.0,Insufficient AI safety research capacity,Pre-deployment bias auditing and fairness mitigation,governance,0,2,163,2
4.0,38.0,Unsafe and Sample-Inefficient RL Exploration,Incentivized AI forecasting and prediction systems,technical,0,2,260,2
18.0,18.0,Catastrophic Superintelligent AI Misalignment,Critique-guided fine-tuning and human feedback,technical,0,2,63,2
12.0,12.0,Catastrophic risks from misaligned advanced AI,Pre-deployment bias auditing and fairness mitigation,governance,0,2,50,2
37.0,23.0,AI-driven labor displacement and socioeconomic instability,Human-aware predictive robot control and safety planning,technical,0,2,50,2
25.0,25.0,Misaligned Superintelligent AI Existential Risk,Explainable decision support with uncertainty and counterfactuals,technical,0,2,326,2
27.0,24.0,Uncontrolled Recursive Self-Improvement Explosion,RLHF fine-tuning for aligned language models,technical,0,2,117,2
3.0,39.0,Opaque Transformer Reasoning Undermines Safety Oversight,Export controls on advanced AI hardware,governance,0,2,69,2
21.0,28.0,Catastrophic AI misalignment and loss of control,International treaty banning autonomous weapons,governance,0,2,38,2
11.0,26.0,Misforecasted AI Timelines Undermining Safety Preparedness,Reward-guided RL fine-tuning with safety constraints,technical,0,2,168,2
17.0,25.0,Adversarial Image Classification Misclassification,Explainable decision support with uncertainty and counterfactuals,technical,0,2,53,2
3.0,23.0,Opaque Transformer Reasoning Undermines Safety Oversight,Human-aware predictive robot control and safety planning,technical,0,2,33,2
27.0,5.0,Uncontrolled Recursive Self-Improvement Explosion,Pre-deployment adversarial red-teaming and robustness testing,technical,0,2,147,2
38.0,6.0,Catastrophic AGI Misalignment Risk,PGD Adversarial Training for Robust Fine-Tuning,technical,0,2,431,2
16.0,21.0,Insufficient AI safety research capacity,Formal Verification for Pre-Deployment AI Safety,technical,0,2,155,2
19.0,13.0,Misaligned AI takeover and human disempowerment,Multi-objective recommender ranking with safety penalties,technical,0,2,35,2
20.0,28.0,Deceptive alignment and hidden objectives,International treaty banning autonomous weapons,governance,0,2,54,2
12.0,37.0,Catastrophic risks from misaligned advanced AI,ROME-based factual knowledge editing,technical,0,1,12,1
31.0,2.0,Undetected unsafe behavior in deployed AI systems,MCTS-Guided RL Planning and Training,technical,0,1,6,1
12.0,22.0,Catastrophic risks from misaligned advanced AI,Deployment-time confidence filtering and rejection sampling,technical,0,1,12,1
31.0,19.0,Undetected unsafe behavior in deployed AI systems,Demonstration-Based Policy Pretraining,governance,0,1,19,1
28.0,27.0,Algorithmic discrimination in high-stakes decisions,KL-Regularized RLHF Fine-Tuning,technical,0,1,21,1
28.0,33.0,Algorithmic discrimination in high-stakes decisions,Deployment-time prompt engineering for aligned behavior,technical,0,1,4,1
7.0,18.0,Human extinction from misaligned superintelligent AI,Critique-guided fine-tuning and human feedback,technical,0,1,59,1
0.0,28.0,Out-of-distribution generalization failure,International treaty banning autonomous weapons,governance,0,1,19,1
31.0,37.0,Undetected unsafe behavior in deployed AI systems,ROME-based factual knowledge editing,technical,0,1,3,1
31.0,13.0,Undetected unsafe behavior in deployed AI systems,Multi-objective recommender ranking with safety penalties,technical,0,1,6,1
11.0,33.0,Misforecasted AI Timelines Undermining Safety Preparedness,Deployment-time prompt engineering for aligned behavior,technical,0,1,12,1
28.0,9.0,Algorithmic discrimination in high-stakes decisions,Choose robust model architectures at design time,technical,0,1,4,1
18.0,12.0,Catastrophic Superintelligent AI Misalignment,Pre-deployment bias auditing and fairness mitigation,governance,0,1,13,1
23.0,18.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Critique-guided fine-tuning and human feedback,technical,0,1,5,1
4.0,29.0,Unsafe and Sample-Inefficient RL Exploration,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,1,73,1
17.0,31.0,Adversarial Image Classification Misclassification,Human-AI collaboration tools for skill building,technical,0,1,15,1
24.0,36.0,Objective Misspecification and Misaligned Optimization,Robustness-Oriented Training Data Augmentation,technical,0,1,13,1
23.0,11.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Public AI risk outreach and educational dissemination,field-building,0,1,15,1
19.0,37.0,Misaligned AI takeover and human disempowerment,ROME-based factual knowledge editing,technical,0,1,16,1
39.0,15.0,Bias-Driven Progress Distortion and Stagnation,Pre-deployment mechanistic interpretability audits,governance,0,1,5,1
18.0,21.0,Catastrophic Superintelligent AI Misalignment,Formal Verification for Pre-Deployment AI Safety,technical,0,1,16,1
25.0,37.0,Misaligned Superintelligent AI Existential Risk,ROME-based factual knowledge editing,technical,0,1,67,1
22.0,2.0,Deceptive and Harmful Language Model Outputs,MCTS-Guided RL Planning and Training,technical,0,1,65,1
32.0,12.0,AI shutdown resistance and control loss,Pre-deployment bias auditing and fairness mitigation,governance,0,1,4,1
11.0,23.0,Misforecasted AI Timelines Undermining Safety Preparedness,Human-aware predictive robot control and safety planning,technical,0,1,65,1
32.0,23.0,AI shutdown resistance and control loss,Human-aware predictive robot control and safety planning,technical,0,1,13,1
39.0,6.0,Bias-Driven Progress Distortion and Stagnation,PGD Adversarial Training for Robust Fine-Tuning,technical,0,1,5,1
30.0,26.0,Existential catastrophe and human extinction risks,Reward-guided RL fine-tuning with safety constraints,technical,0,1,64,1
39.0,19.0,Bias-Driven Progress Distortion and Stagnation,Demonstration-Based Policy Pretraining,governance,0,1,4,1
29.0,23.0,AI-driven wealth and power concentration,Human-aware predictive robot control and safety planning,technical,0,1,3,1
27.0,27.0,Uncontrolled Recursive Self-Improvement Explosion,KL-Regularized RLHF Fine-Tuning,technical,0,1,12,1
3.0,21.0,Opaque Transformer Reasoning Undermines Safety Oversight,Formal Verification for Pre-Deployment AI Safety,technical,0,1,8,1
27.0,28.0,Uncontrolled Recursive Self-Improvement Explosion,International treaty banning autonomous weapons,governance,0,1,19,1
18.0,22.0,Catastrophic Superintelligent AI Misalignment,Deployment-time confidence filtering and rejection sampling,technical,0,1,21,1
39.0,5.0,Bias-Driven Progress Distortion and Stagnation,Pre-deployment adversarial red-teaming and robustness testing,technical,0,1,11,1
15.0,12.0,Opaque AI decision-making undermines oversight and safety,Pre-deployment bias auditing and fairness mitigation,governance,0,1,43,1
24.0,37.0,Objective Misspecification and Misaligned Optimization,ROME-based factual knowledge editing,technical,0,1,8,1
15.0,33.0,Opaque AI decision-making undermines oversight and safety,Deployment-time prompt engineering for aligned behavior,technical,0,1,26,1
8.0,38.0,Human-AI Coordination Failure in Shared Environments,Incentivized AI forecasting and prediction systems,technical,0,1,43,1
15.0,22.0,Opaque AI decision-making undermines oversight and safety,Deployment-time confidence filtering and rejection sampling,technical,0,1,21,1
27.0,33.0,Uncontrolled Recursive Self-Improvement Explosion,Deployment-time prompt engineering for aligned behavior,technical,0,1,9,1
39.0,18.0,Bias-Driven Progress Distortion and Stagnation,Critique-guided fine-tuning and human feedback,technical,0,1,1,1
39.0,13.0,Bias-Driven Progress Distortion and Stagnation,Multi-objective recommender ranking with safety penalties,technical,0,1,1,1
5.0,15.0,Compute and data inefficiency in AI training,Pre-deployment mechanistic interpretability audits,governance,0,1,28,1
15.0,28.0,Opaque AI decision-making undermines oversight and safety,International treaty banning autonomous weapons,governance,0,1,42,1
14.0,28.0,Unsafe AI Decisions in High-Stakes Settings,International treaty banning autonomous weapons,governance,0,1,8,1
28.0,23.0,Algorithmic discrimination in high-stakes decisions,Human-aware predictive robot control and safety planning,technical,0,1,29,1
31.0,39.0,Undetected unsafe behavior in deployed AI systems,Export controls on advanced AI hardware,governance,0,1,39,1
3.0,11.0,Opaque Transformer Reasoning Undermines Safety Oversight,Public AI risk outreach and educational dissemination,field-building,0,1,121,1
39.0,36.0,Bias-Driven Progress Distortion and Stagnation,Robustness-Oriented Training Data Augmentation,technical,0,1,1,1
39.0,29.0,Bias-Driven Progress Distortion and Stagnation,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,1,1,1
32.0,25.0,AI shutdown resistance and control loss,Explainable decision support with uncertainty and counterfactuals,technical,0,1,9,1
38.0,31.0,Catastrophic AGI Misalignment Risk,Human-AI collaboration tools for skill building,technical,0,1,31,1
25.0,13.0,Misaligned Superintelligent AI Existential Risk,Multi-objective recommender ranking with safety penalties,technical,0,1,141,1
23.0,37.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,ROME-based factual knowledge editing,technical,0,1,1,1
15.0,37.0,Opaque AI decision-making undermines oversight and safety,ROME-based factual knowledge editing,technical,0,1,8,1
33.0,23.0,AI-driven personal data privacy breaches,Human-aware predictive robot control and safety planning,technical,0,1,9,1
29.0,21.0,AI-driven wealth and power concentration,Formal Verification for Pre-Deployment AI Safety,technical,0,1,1,1
23.0,22.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Deployment-time confidence filtering and rejection sampling,technical,0,1,1,1
8.0,28.0,Human-AI Coordination Failure in Shared Environments,International treaty banning autonomous weapons,governance,0,1,9,1
32.0,13.0,AI shutdown resistance and control loss,Multi-objective recommender ranking with safety penalties,technical,0,1,5,1
27.0,12.0,Uncontrolled Recursive Self-Improvement Explosion,Pre-deployment bias auditing and fairness mitigation,governance,0,1,10,1
25.0,2.0,Misaligned Superintelligent AI Existential Risk,MCTS-Guided RL Planning and Training,technical,0,1,105,1
17.0,27.0,Adversarial Image Classification Misclassification,KL-Regularized RLHF Fine-Tuning,technical,0,1,52,1
2.0,21.0,AI arms race causing unsafe deployment,Formal Verification for Pre-Deployment AI Safety,technical,0,1,51,1
27.0,17.0,Uncontrolled Recursive Self-Improvement Explosion,Runtime control and coordination modules,technical,0,1,24,1
29.0,39.0,AI-driven wealth and power concentration,Export controls on advanced AI hardware,governance,0,1,11,1
33.0,9.0,AI-driven personal data privacy breaches,Choose robust model architectures at design time,technical,0,1,2,1
1.0,0.0,Malicious misuse of frontier AI for large-scale harm,Training-time regularization for robust generalization,technical,0,1,114,1
32.0,18.0,AI shutdown resistance and control loss,Critique-guided fine-tuning and human feedback,technical,0,1,11,1
12.0,13.0,Catastrophic risks from misaligned advanced AI,Multi-objective recommender ranking with safety penalties,technical,0,1,54,1
23.0,24.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,RLHF fine-tuning for aligned language models,technical,0,1,23,1
31.0,28.0,Undetected unsafe behavior in deployed AI systems,International treaty banning autonomous weapons,governance,0,0,6,0
18.0,36.0,Catastrophic Superintelligent AI Misalignment,Robustness-Oriented Training Data Augmentation,technical,0,0,5,0
3.0,12.0,Opaque Transformer Reasoning Undermines Safety Oversight,Pre-deployment bias auditing and fairness mitigation,governance,0,0,7,0
24.0,9.0,Objective Misspecification and Misaligned Optimization,Choose robust model architectures at design time,technical,0,0,8,0
38.0,21.0,Catastrophic AGI Misalignment Risk,Formal Verification for Pre-Deployment AI Safety,technical,0,0,7,0
33.0,17.0,AI-driven personal data privacy breaches,Runtime control and coordination modules,technical,0,0,7,0
3.0,31.0,Opaque Transformer Reasoning Undermines Safety Oversight,Human-AI collaboration tools for skill building,technical,0,0,6,0
32.0,21.0,AI shutdown resistance and control loss,Formal Verification for Pre-Deployment AI Safety,technical,0,0,5,0
27.0,31.0,Uncontrolled Recursive Self-Improvement Explosion,Human-AI collaboration tools for skill building,technical,0,0,5,0
32.0,2.0,AI shutdown resistance and control loss,MCTS-Guided RL Planning and Training,technical,0,0,7,0
39.0,24.0,Bias-Driven Progress Distortion and Stagnation,RLHF fine-tuning for aligned language models,technical,0,0,7,0
23.0,39.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Export controls on advanced AI hardware,governance,0,0,8,0
3.0,28.0,Opaque Transformer Reasoning Undermines Safety Oversight,International treaty banning autonomous weapons,governance,0,0,8,0
