risk_cid,risk_name,group_id,group_name,interv_cid,interv_name,n_triplet_paths
26,Misaligned AGI existential catastrophe,12,Scaling AI Safety Research Capacity and Awareness,28,International treaty banning autonomous weapons,43
25,Misaligned Superintelligent AI Existential Risk,8,exposing hidden model cognition through mechanistic analysis,15,Pre-deployment mechanistic interpretability audits,42
16,Insufficient AI safety research capacity,4,Aligned internal reasoning and goal representation,27,KL-Regularized RLHF Fine-Tuning,41
20,Deceptive alignment and hidden objectives,3,Centralized control of advanced AI compute resources,39,Export controls on advanced AI hardware,41
9,Deployed AI Misalignment Causes Societal Harm,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,41
16,Insufficient AI safety research capacity,4,Aligned internal reasoning and goal representation,33,Deployment-time prompt engineering for aligned behavior,41
6,Reward Misspecification and Reward Hacking,17,alignment of learned reward signals with human intent,26,Reward-guided RL fine-tuning with safety constraints,41
7,Human extinction from misaligned superintelligent AI,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,41
16,Insufficient AI safety research capacity,17,alignment of learned reward signals with human intent,26,Reward-guided RL fine-tuning with safety constraints,41
1,Malicious misuse of frontier AI for large-scale harm,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,39
18,Catastrophic Superintelligent AI Misalignment,7,Aggregated human-aligned iterative model refinement,35,Human-preference reward model fine-tuning,39
35,Advanced AI value misalignment risk,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,39
16,Insufficient AI safety research capacity,2,Robust feature alignment through adversarial optimization,26,Reward-guided RL fine-tuning with safety constraints,39
4,Unsafe and Sample-Inefficient RL Exploration,2,Robust feature alignment through adversarial optimization,5,Pre-deployment adversarial red-teaming and robustness testing,38
10,Existential catastrophe from misaligned AI,16,Robust policy optimization under reward uncertainty,26,Reward-guided RL fine-tuning with safety constraints,38
6,Reward Misspecification and Reward Hacking,15,Detection and mitigation of reward mis-specification effects,19,Demonstration-Based Policy Pretraining,37
6,Reward Misspecification and Reward Hacking,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,32,Attainable Utility Preservation reward penalty,36
17,Adversarial Image Classification Misclassification,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,36
10,Existential catastrophe from misaligned AI,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,23,Human-aware predictive robot control and safety planning,36
6,Reward Misspecification and Reward Hacking,3,Centralized control of advanced AI compute resources,39,Export controls on advanced AI hardware,36
10,Existential catastrophe from misaligned AI,1,Systematic Identification of Hidden Model Vulnerabilities,1,Continuous anomaly monitoring and safety tripwires,36
11,Misforecasted AI Timelines Undermining Safety Preparedness,18,Improved calibration of AI progress forecasts,38,Incentivized AI forecasting and prediction systems,36
25,Misaligned Superintelligent AI Existential Risk,14,Alignment via human preference propagation,4,Pre-deployment safety gates and controlled release,35
16,Insufficient AI safety research capacity,14,Alignment via human preference propagation,18,Critique-guided fine-tuning and human feedback,35
38,Catastrophic AGI Misalignment Risk,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,4,Pre-deployment safety gates and controlled release,34
16,Insufficient AI safety research capacity,14,Alignment via human preference propagation,15,Pre-deployment mechanistic interpretability audits,34
26,Misaligned AGI existential catastrophe,18,Improved calibration of AI progress forecasts,11,Public AI risk outreach and educational dissemination,34
0,Out-of-distribution generalization failure,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,34
20,Deceptive alignment and hidden objectives,2,Robust feature alignment through adversarial optimization,5,Pre-deployment adversarial red-teaming and robustness testing,34
21,Catastrophic AI misalignment and loss of control,14,Alignment via human preference propagation,22,Deployment-time confidence filtering and rejection sampling,34
9,Deployed AI Misalignment Causes Societal Harm,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,34
16,Insufficient AI safety research capacity,4,Aligned internal reasoning and goal representation,5,Pre-deployment adversarial red-teaming and robustness testing,33
7,Human extinction from misaligned superintelligent AI,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,32,Attainable Utility Preservation reward penalty,33
26,Misaligned AGI existential catastrophe,2,Robust feature alignment through adversarial optimization,26,Reward-guided RL fine-tuning with safety constraints,33
16,Insufficient AI safety research capacity,17,alignment of learned reward signals with human intent,35,Human-preference reward model fine-tuning,33
10,Existential catastrophe from misaligned AI,17,alignment of learned reward signals with human intent,23,Human-aware predictive robot control and safety planning,32
16,Insufficient AI safety research capacity,17,alignment of learned reward signals with human intent,19,Demonstration-Based Policy Pretraining,32
20,Deceptive alignment and hidden objectives,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,4,Pre-deployment safety gates and controlled release,32
25,Misaligned Superintelligent AI Existential Risk,12,Scaling AI Safety Research Capacity and Awareness,1,Continuous anomaly monitoring and safety tripwires,32
16,Insufficient AI safety research capacity,12,Scaling AI Safety Research Capacity and Awareness,1,Continuous anomaly monitoring and safety tripwires,32
10,Existential catastrophe from misaligned AI,14,Alignment via human preference propagation,27,KL-Regularized RLHF Fine-Tuning,32
21,Catastrophic AI misalignment and loss of control,8,exposing hidden model cognition through mechanistic analysis,37,ROME-based factual knowledge editing,32
6,Reward Misspecification and Reward Hacking,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,4,Pre-deployment safety gates and controlled release,32
2,AI arms race causing unsafe deployment,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,32
20,Deceptive alignment and hidden objectives,15,Detection and mitigation of reward mis-specification effects,19,Demonstration-Based Policy Pretraining,32
9,Deployed AI Misalignment Causes Societal Harm,12,Scaling AI Safety Research Capacity and Awareness,10,Governed AI oversight and compliance regimes,32
16,Insufficient AI safety research capacity,14,Alignment via human preference propagation,31,Human-AI collaboration tools for skill building,32
16,Insufficient AI safety research capacity,12,Scaling AI Safety Research Capacity and Awareness,14,Beginner-Friendly AGI Safety Knowledge Infrastructure,31
6,Reward Misspecification and Reward Hacking,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,31
38,Catastrophic AGI Misalignment Risk,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,31
26,Misaligned AGI existential catastrophe,14,Alignment via human preference propagation,31,Human-AI collaboration tools for skill building,31
35,Advanced AI value misalignment risk,14,Alignment via human preference propagation,8,Expand AI Safety Research Funding and Capacity,30
2,AI arms race causing unsafe deployment,15,Detection and mitigation of reward mis-specification effects,19,Demonstration-Based Policy Pretraining,30
35,Advanced AI value misalignment risk,16,Robust policy optimization under reward uncertainty,2,MCTS-Guided RL Planning and Training,30
20,Deceptive alignment and hidden objectives,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,30
35,Advanced AI value misalignment risk,17,alignment of learned reward signals with human intent,26,Reward-guided RL fine-tuning with safety constraints,30
16,Insufficient AI safety research capacity,15,Detection and mitigation of reward mis-specification effects,35,Human-preference reward model fine-tuning,30
32,AI shutdown resistance and control loss,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,30
17,Adversarial Image Classification Misclassification,2,Robust feature alignment through adversarial optimization,34,Large-scale pretraining before task fine-tuning,30
18,Catastrophic Superintelligent AI Misalignment,15,Detection and mitigation of reward mis-specification effects,19,Demonstration-Based Policy Pretraining,30
16,Insufficient AI safety research capacity,8,exposing hidden model cognition through mechanistic analysis,8,Expand AI Safety Research Funding and Capacity,30
12,Catastrophic risks from misaligned advanced AI,14,Alignment via human preference propagation,8,Expand AI Safety Research Funding and Capacity,29
12,Catastrophic risks from misaligned advanced AI,17,alignment of learned reward signals with human intent,23,Human-aware predictive robot control and safety planning,29
26,Misaligned AGI existential catastrophe,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,29
38,Catastrophic AGI Misalignment Risk,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,29
0,Out-of-distribution generalization failure,2,Robust feature alignment through adversarial optimization,34,Large-scale pretraining before task fine-tuning,29
1,Malicious misuse of frontier AI for large-scale harm,15,Detection and mitigation of reward mis-specification effects,19,Demonstration-Based Policy Pretraining,29
7,Human extinction from misaligned superintelligent AI,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,17,Runtime control and coordination modules,29
1,Malicious misuse of frontier AI for large-scale harm,3,Centralized control of advanced AI compute resources,39,Export controls on advanced AI hardware,29
4,Unsafe and Sample-Inefficient RL Exploration,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,23,Human-aware predictive robot control and safety planning,29
4,Unsafe and Sample-Inefficient RL Exploration,9,Capability race incentives suppressing safety investments,35,Human-preference reward model fine-tuning,28
35,Advanced AI value misalignment risk,5,Enhanced model transparency enabling proactive vulnerability detection,1,Continuous anomaly monitoring and safety tripwires,28
16,Insufficient AI safety research capacity,16,Robust policy optimization under reward uncertainty,5,Pre-deployment adversarial red-teaming and robustness testing,28
4,Unsafe and Sample-Inefficient RL Exploration,17,alignment of learned reward signals with human intent,35,Human-preference reward model fine-tuning,28
26,Misaligned AGI existential catastrophe,8,exposing hidden model cognition through mechanistic analysis,37,ROME-based factual knowledge editing,28
25,Misaligned Superintelligent AI Existential Risk,12,Scaling AI Safety Research Capacity and Awareness,5,Pre-deployment adversarial red-teaming and robustness testing,28
38,Catastrophic AGI Misalignment Risk,14,Alignment via human preference propagation,4,Pre-deployment safety gates and controlled release,28
1,Malicious misuse of frontier AI for large-scale harm,2,Robust feature alignment through adversarial optimization,5,Pre-deployment adversarial red-teaming and robustness testing,26
16,Insufficient AI safety research capacity,14,Alignment via human preference propagation,27,KL-Regularized RLHF Fine-Tuning,26
25,Misaligned Superintelligent AI Existential Risk,1,Systematic Identification of Hidden Model Vulnerabilities,5,Pre-deployment adversarial red-teaming and robustness testing,26
1,Malicious misuse of frontier AI for large-scale harm,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,26
30,Existential catastrophe and human extinction risks,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,26
25,Misaligned Superintelligent AI Existential Risk,12,Scaling AI Safety Research Capacity and Awareness,28,International treaty banning autonomous weapons,26
18,Catastrophic Superintelligent AI Misalignment,7,Aggregated human-aligned iterative model refinement,13,Multi-objective recommender ranking with safety penalties,26
9,Deployed AI Misalignment Causes Societal Harm,2,Robust feature alignment through adversarial optimization,36,Robustness-Oriented Training Data Augmentation,26
16,Insufficient AI safety research capacity,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,23,Human-aware predictive robot control and safety planning,26
26,Misaligned AGI existential catastrophe,8,exposing hidden model cognition through mechanistic analysis,8,Expand AI Safety Research Funding and Capacity,26
19,Misaligned AI takeover and human disempowerment,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,25
30,Existential catastrophe and human extinction risks,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,25
21,Catastrophic AI misalignment and loss of control,14,Alignment via human preference propagation,10,Governed AI oversight and compliance regimes,25
25,Misaligned Superintelligent AI Existential Risk,5,Enhanced model transparency enabling proactive vulnerability detection,5,Pre-deployment adversarial red-teaming and robustness testing,25
18,Catastrophic Superintelligent AI Misalignment,12,Scaling AI Safety Research Capacity and Awareness,5,Pre-deployment adversarial red-teaming and robustness testing,25
16,Insufficient AI safety research capacity,1,Systematic Identification of Hidden Model Vulnerabilities,15,Pre-deployment mechanistic interpretability audits,25
22,Deceptive and Harmful Language Model Outputs,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,24
16,Insufficient AI safety research capacity,8,exposing hidden model cognition through mechanistic analysis,37,ROME-based factual knowledge editing,24
16,Insufficient AI safety research capacity,14,Alignment via human preference propagation,22,Deployment-time confidence filtering and rejection sampling,24
38,Catastrophic AGI Misalignment Risk,3,Centralized control of advanced AI compute resources,39,Export controls on advanced AI hardware,24
12,Catastrophic risks from misaligned advanced AI,15,Detection and mitigation of reward mis-specification effects,4,Pre-deployment safety gates and controlled release,24
2,AI arms race causing unsafe deployment,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,24
6,Reward Misspecification and Reward Hacking,12,Scaling AI Safety Research Capacity and Awareness,10,Governed AI oversight and compliance regimes,24
2,AI arms race causing unsafe deployment,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,24
4,Unsafe and Sample-Inefficient RL Exploration,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,23
4,Unsafe and Sample-Inefficient RL Exploration,9,Capability race incentives suppressing safety investments,19,Demonstration-Based Policy Pretraining,23
21,Catastrophic AI misalignment and loss of control,14,Alignment via human preference propagation,4,Pre-deployment safety gates and controlled release,23
9,Deployed AI Misalignment Causes Societal Harm,15,Detection and mitigation of reward mis-specification effects,35,Human-preference reward model fine-tuning,23
18,Catastrophic Superintelligent AI Misalignment,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,32,Attainable Utility Preservation reward penalty,23
28,Algorithmic discrimination in high-stakes decisions,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,23
6,Reward Misspecification and Reward Hacking,1,Systematic Identification of Hidden Model Vulnerabilities,5,Pre-deployment adversarial red-teaming and robustness testing,23
26,Misaligned AGI existential catastrophe,15,Detection and mitigation of reward mis-specification effects,24,RLHF fine-tuning for aligned language models,23
0,Out-of-distribution generalization failure,2,Robust feature alignment through adversarial optimization,22,Deployment-time confidence filtering and rejection sampling,23
16,Insufficient AI safety research capacity,15,Detection and mitigation of reward mis-specification effects,4,Pre-deployment safety gates and controlled release,23
9,Deployed AI Misalignment Causes Societal Harm,9,Capability race incentives suppressing safety investments,19,Demonstration-Based Policy Pretraining,23
9,Deployed AI Misalignment Causes Societal Harm,9,Capability race incentives suppressing safety investments,35,Human-preference reward model fine-tuning,23
2,AI arms race causing unsafe deployment,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,4,Pre-deployment safety gates and controlled release,22
5,Compute and data inefficiency in AI training,18,Improved calibration of AI progress forecasts,9,Choose robust model architectures at design time,22
20,Deceptive alignment and hidden objectives,12,Scaling AI Safety Research Capacity and Awareness,10,Governed AI oversight and compliance regimes,22
12,Catastrophic risks from misaligned advanced AI,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,22
6,Reward Misspecification and Reward Hacking,8,exposing hidden model cognition through mechanistic analysis,8,Expand AI Safety Research Funding and Capacity,22
6,Reward Misspecification and Reward Hacking,14,Alignment via human preference propagation,18,Critique-guided fine-tuning and human feedback,22
1,Malicious misuse of frontier AI for large-scale harm,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,4,Pre-deployment safety gates and controlled release,22
38,Catastrophic AGI Misalignment Risk,8,exposing hidden model cognition through mechanistic analysis,37,ROME-based factual knowledge editing,22
22,Deceptive and Harmful Language Model Outputs,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,21
7,Human extinction from misaligned superintelligent AI,14,Alignment via human preference propagation,4,Pre-deployment safety gates and controlled release,21
35,Advanced AI value misalignment risk,12,Scaling AI Safety Research Capacity and Awareness,10,Governed AI oversight and compliance regimes,21
10,Existential catastrophe from misaligned AI,9,Capability race incentives suppressing safety investments,4,Pre-deployment safety gates and controlled release,21
2,AI arms race causing unsafe deployment,12,Scaling AI Safety Research Capacity and Awareness,10,Governed AI oversight and compliance regimes,21
35,Advanced AI value misalignment risk,14,Alignment via human preference propagation,27,KL-Regularized RLHF Fine-Tuning,21
18,Catastrophic Superintelligent AI Misalignment,1,Systematic Identification of Hidden Model Vulnerabilities,5,Pre-deployment adversarial red-teaming and robustness testing,21
38,Catastrophic AGI Misalignment Risk,14,Alignment via human preference propagation,22,Deployment-time confidence filtering and rejection sampling,21
38,Catastrophic AGI Misalignment Risk,15,Detection and mitigation of reward mis-specification effects,19,Demonstration-Based Policy Pretraining,21
14,Unsafe AI Decisions in High-Stakes Settings,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,21
7,Human extinction from misaligned superintelligent AI,1,Systematic Identification of Hidden Model Vulnerabilities,12,Pre-deployment bias auditing and fairness mitigation,20
6,Reward Misspecification and Reward Hacking,7,Aggregated human-aligned iterative model refinement,35,Human-preference reward model fine-tuning,20
20,Deceptive alignment and hidden objectives,5,Enhanced model transparency enabling proactive vulnerability detection,1,Continuous anomaly monitoring and safety tripwires,20
10,Existential catastrophe from misaligned AI,1,Systematic Identification of Hidden Model Vulnerabilities,5,Pre-deployment adversarial red-teaming and robustness testing,20
21,Catastrophic AI misalignment and loss of control,15,Detection and mitigation of reward mis-specification effects,4,Pre-deployment safety gates and controlled release,20
15,Opaque AI decision-making undermines oversight and safety,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,20
25,Misaligned Superintelligent AI Existential Risk,18,Improved calibration of AI progress forecasts,11,Public AI risk outreach and educational dissemination,20
16,Insufficient AI safety research capacity,16,Robust policy optimization under reward uncertainty,13,Multi-objective recommender ranking with safety penalties,20
1,Malicious misuse of frontier AI for large-scale harm,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,20
18,Catastrophic Superintelligent AI Misalignment,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,4,Pre-deployment safety gates and controlled release,20
17,Adversarial Image Classification Misclassification,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,20
2,AI arms race causing unsafe deployment,3,Centralized control of advanced AI compute resources,39,Export controls on advanced AI hardware,20
7,Human extinction from misaligned superintelligent AI,12,Scaling AI Safety Research Capacity and Awareness,10,Governed AI oversight and compliance regimes,19
6,Reward Misspecification and Reward Hacking,16,Robust policy optimization under reward uncertainty,2,MCTS-Guided RL Planning and Training,19
0,Out-of-distribution generalization failure,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,19
16,Insufficient AI safety research capacity,14,Alignment via human preference propagation,1,Continuous anomaly monitoring and safety tripwires,19
0,Out-of-distribution generalization failure,2,Robust feature alignment through adversarial optimization,5,Pre-deployment adversarial red-teaming and robustness testing,19
16,Insufficient AI safety research capacity,14,Alignment via human preference propagation,10,Governed AI oversight and compliance regimes,19
16,Insufficient AI safety research capacity,7,Aggregated human-aligned iterative model refinement,18,Critique-guided fine-tuning and human feedback,19
15,Opaque AI decision-making undermines oversight and safety,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,19
2,AI arms race causing unsafe deployment,9,Capability race incentives suppressing safety investments,8,Expand AI Safety Research Funding and Capacity,19
7,Human extinction from misaligned superintelligent AI,12,Scaling AI Safety Research Capacity and Awareness,5,Pre-deployment adversarial red-teaming and robustness testing,18
35,Advanced AI value misalignment risk,12,Scaling AI Safety Research Capacity and Awareness,5,Pre-deployment adversarial red-teaming and robustness testing,18
18,Catastrophic Superintelligent AI Misalignment,14,Alignment via human preference propagation,18,Critique-guided fine-tuning and human feedback,18
6,Reward Misspecification and Reward Hacking,16,Robust policy optimization under reward uncertainty,24,RLHF fine-tuning for aligned language models,18
18,Catastrophic Superintelligent AI Misalignment,12,Scaling AI Safety Research Capacity and Awareness,10,Governed AI oversight and compliance regimes,18
18,Catastrophic Superintelligent AI Misalignment,3,Centralized control of advanced AI compute resources,39,Export controls on advanced AI hardware,18
12,Catastrophic risks from misaligned advanced AI,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,32,Attainable Utility Preservation reward penalty,18
16,Insufficient AI safety research capacity,12,Scaling AI Safety Research Capacity and Awareness,35,Human-preference reward model fine-tuning,18
4,Unsafe and Sample-Inefficient RL Exploration,17,alignment of learned reward signals with human intent,26,Reward-guided RL fine-tuning with safety constraints,18
25,Misaligned Superintelligent AI Existential Risk,14,Alignment via human preference propagation,18,Critique-guided fine-tuning and human feedback,18
10,Existential catastrophe from misaligned AI,15,Detection and mitigation of reward mis-specification effects,4,Pre-deployment safety gates and controlled release,18
10,Existential catastrophe from misaligned AI,6,Detection and mitigation of emergent harmful capabilities,1,Continuous anomaly monitoring and safety tripwires,18
12,Catastrophic risks from misaligned advanced AI,3,Centralized control of advanced AI compute resources,39,Export controls on advanced AI hardware,17
22,Deceptive and Harmful Language Model Outputs,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,17
20,Deceptive alignment and hidden objectives,8,exposing hidden model cognition through mechanistic analysis,15,Pre-deployment mechanistic interpretability audits,17
17,Adversarial Image Classification Misclassification,2,Robust feature alignment through adversarial optimization,22,Deployment-time confidence filtering and rejection sampling,17
4,Unsafe and Sample-Inefficient RL Exploration,17,alignment of learned reward signals with human intent,30,Periodic target networks for stable Q-learning,17
20,Deceptive alignment and hidden objectives,14,Alignment via human preference propagation,4,Pre-deployment safety gates and controlled release,17
34,Instrumental power-seeking by advanced AI agents,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,17
6,Reward Misspecification and Reward Hacking,12,Scaling AI Safety Research Capacity and Awareness,35,Human-preference reward model fine-tuning,17
3,Opaque Transformer Reasoning Undermines Safety Oversight,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,16
19,Misaligned AI takeover and human disempowerment,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,4,Pre-deployment safety gates and controlled release,16
38,Catastrophic AGI Misalignment Risk,8,exposing hidden model cognition through mechanistic analysis,29,"Neuroscience validation platforms for cognition, emulation, and alignment research",16
25,Misaligned Superintelligent AI Existential Risk,1,Systematic Identification of Hidden Model Vulnerabilities,15,Pre-deployment mechanistic interpretability audits,16
20,Deceptive alignment and hidden objectives,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,32,Attainable Utility Preservation reward penalty,16
2,AI arms race causing unsafe deployment,2,Robust feature alignment through adversarial optimization,5,Pre-deployment adversarial red-teaming and robustness testing,16
38,Catastrophic AGI Misalignment Risk,12,Scaling AI Safety Research Capacity and Awareness,5,Pre-deployment adversarial red-teaming and robustness testing,16
4,Unsafe and Sample-Inefficient RL Exploration,14,Alignment via human preference propagation,26,Reward-guided RL fine-tuning with safety constraints,16
12,Catastrophic risks from misaligned advanced AI,17,alignment of learned reward signals with human intent,35,Human-preference reward model fine-tuning,16
16,Insufficient AI safety research capacity,12,Scaling AI Safety Research Capacity and Awareness,28,International treaty banning autonomous weapons,16
15,Opaque AI decision-making undermines oversight and safety,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,16
9,Deployed AI Misalignment Causes Societal Harm,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,16
16,Insufficient AI safety research capacity,8,exposing hidden model cognition through mechanistic analysis,17,Runtime control and coordination modules,16
7,Human extinction from misaligned superintelligent AI,5,Enhanced model transparency enabling proactive vulnerability detection,5,Pre-deployment adversarial red-teaming and robustness testing,15
11,Misforecasted AI Timelines Undermining Safety Preparedness,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,15
19,Misaligned AI takeover and human disempowerment,8,exposing hidden model cognition through mechanistic analysis,15,Pre-deployment mechanistic interpretability audits,15
19,Misaligned AI takeover and human disempowerment,14,Alignment via human preference propagation,4,Pre-deployment safety gates and controlled release,15
28,Algorithmic discrimination in high-stakes decisions,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,15
16,Insufficient AI safety research capacity,5,Enhanced model transparency enabling proactive vulnerability detection,4,Pre-deployment safety gates and controlled release,15
1,Malicious misuse of frontier AI for large-scale harm,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,15
4,Unsafe and Sample-Inefficient RL Exploration,12,Scaling AI Safety Research Capacity and Awareness,10,Governed AI oversight and compliance regimes,15
7,Human extinction from misaligned superintelligent AI,13,Mitigation of reward mis-specification through robust feedback alignment,5,Pre-deployment adversarial red-teaming and robustness testing,15
35,Advanced AI value misalignment risk,17,alignment of learned reward signals with human intent,35,Human-preference reward model fine-tuning,15
17,Adversarial Image Classification Misclassification,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,15
38,Catastrophic AGI Misalignment Risk,8,exposing hidden model cognition through mechanistic analysis,15,Pre-deployment mechanistic interpretability audits,15
16,Insufficient AI safety research capacity,16,Robust policy optimization under reward uncertainty,26,Reward-guided RL fine-tuning with safety constraints,14
25,Misaligned Superintelligent AI Existential Risk,16,Robust policy optimization under reward uncertainty,5,Pre-deployment adversarial red-teaming and robustness testing,14
10,Existential catastrophe from misaligned AI,14,Alignment via human preference propagation,22,Deployment-time confidence filtering and rejection sampling,14
26,Misaligned AGI existential catastrophe,12,Scaling AI Safety Research Capacity and Awareness,1,Continuous anomaly monitoring and safety tripwires,14
7,Human extinction from misaligned superintelligent AI,12,Scaling AI Safety Research Capacity and Awareness,28,International treaty banning autonomous weapons,14
4,Unsafe and Sample-Inefficient RL Exploration,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,32,Attainable Utility Preservation reward penalty,14
28,Algorithmic discrimination in high-stakes decisions,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,14
19,Misaligned AI takeover and human disempowerment,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,14
15,Opaque AI decision-making undermines oversight and safety,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,4,Pre-deployment safety gates and controlled release,14
26,Misaligned AGI existential catastrophe,14,Alignment via human preference propagation,22,Deployment-time confidence filtering and rejection sampling,14
6,Reward Misspecification and Reward Hacking,2,Robust feature alignment through adversarial optimization,26,Reward-guided RL fine-tuning with safety constraints,14
6,Reward Misspecification and Reward Hacking,7,Aggregated human-aligned iterative model refinement,13,Multi-objective recommender ranking with safety penalties,14
7,Human extinction from misaligned superintelligent AI,6,Detection and mitigation of emergent harmful capabilities,5,Pre-deployment adversarial red-teaming and robustness testing,14
6,Reward Misspecification and Reward Hacking,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,23,Human-aware predictive robot control and safety planning,13
20,Deceptive alignment and hidden objectives,4,Aligned internal reasoning and goal representation,8,Expand AI Safety Research Funding and Capacity,13
20,Deceptive alignment and hidden objectives,4,Aligned internal reasoning and goal representation,27,KL-Regularized RLHF Fine-Tuning,13
20,Deceptive alignment and hidden objectives,4,Aligned internal reasoning and goal representation,33,Deployment-time prompt engineering for aligned behavior,13
6,Reward Misspecification and Reward Hacking,14,Alignment via human preference propagation,27,KL-Regularized RLHF Fine-Tuning,13
20,Deceptive alignment and hidden objectives,15,Detection and mitigation of reward mis-specification effects,35,Human-preference reward model fine-tuning,13
9,Deployed AI Misalignment Causes Societal Harm,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,32,Attainable Utility Preservation reward penalty,13
38,Catastrophic AGI Misalignment Risk,12,Scaling AI Safety Research Capacity and Awareness,10,Governed AI oversight and compliance regimes,13
17,Adversarial Image Classification Misclassification,2,Robust feature alignment through adversarial optimization,0,Training-time regularization for robust generalization,13
18,Catastrophic Superintelligent AI Misalignment,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,13
1,Malicious misuse of frontier AI for large-scale harm,5,Enhanced model transparency enabling proactive vulnerability detection,1,Continuous anomaly monitoring and safety tripwires,13
22,Deceptive and Harmful Language Model Outputs,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,13
9,Deployed AI Misalignment Causes Societal Harm,8,exposing hidden model cognition through mechanistic analysis,15,Pre-deployment mechanistic interpretability audits,13
0,Out-of-distribution generalization failure,2,Robust feature alignment through adversarial optimization,36,Robustness-Oriented Training Data Augmentation,13
